Unicode,Glyph Name,Character
e3cc,ski-boot,
e3cd,ski-boot-ski,
e3ce,slot-machine,
e3cf,teddy-bear,
e3d0,truck-bolt,
e3d1,uniform-martial-arts,
e3d2,user-chef,
e3d3,user-hair-buns,
e3d4,arrow-left-long-to-line,
e3d5,arrow-right-long-to-line,
e3d6,arrow-turn-down-right,
e3d7,bagel,
e3d8,baguette,
e3da,blanket-fire,
e3db,block-brick,
e3dc,block-brick-fire,
e3dd,block-question,
e3de,bowl-scoop,
e3df,bowl-scoops,
e3e0,bowl-spoon,
e3e1,bread-slice-butter,
e3e2,broccoli,
e3e3,burger-lettuce,
e3e4,butter,
e3e5,cake-slice,
e3e6,can-food,
e3e7,candy,
e3e8,candy-bar,
e3e9,card-club,
e3ea,card-diamond,
e3eb,card-heart,
e3ec,card-spade,
e3ed,cards,
e3ee,cart-arrow-up,
e3ef,cart-circle-arrow-down,
e3f0,cart-circle-arrow-up,
e3f1,cart-circle-check,
e3f2,cart-circle-exclamation,
e3f3,cart-circle-plus,
e3f4,cart-circle-xmark,
e3f5,cent-sign,
e3f6,chestnut,
e3f7,chopsticks,
e3f8,circle-quarters,
